Feature ID	Taxon
Alteromonas gracilis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas gracilis
Alteromonas pelagimontana	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas pelagimontana
Alteromonas hispanica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas hispanica
Alteromonas genovensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas genovensis
Alteromonas lipotrueiana	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas lipotrueiana
Alteromonas halophila	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas halophila
Alteromonas confluentis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas confluentis
Alteromonas sediminis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sediminis
Alteromonas lipolytica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas lipolytica
Salinimonas iocasae	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__Salinimonas iocasae
Salinimonas profundi	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__Salinimonas profundi
Salinimonas sediminis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__Salinimonas sediminis
Salinimonas lutimaris	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__Salinimonas lutimaris
Salinimonas chungwhensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__Salinimonas chungwhensis
Alteromonadaceae bacterium UBA2620	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__ ; s__Alteromonadaceae bacterium UBA2620
Alteromonadaceae bacterium	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__ ; s__Alteromonadaceae bacterium
Alteromonadaceae bacterium XY-R5	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__ ; s__Alteromonadaceae bacterium XY-R5
Marisediminitalea aggregata	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marisediminitalea; s__Marisediminitalea aggregata
Glaciecola sp. UBA1851	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Glaciecola; s__Glaciecola sp. UBA1851
Glaciecola sp. XM2	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Glaciecola; s__Glaciecola sp. XM2
Ningiella ruwaisensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Ningiella; s__Ningiella ruwaisensis
Saccharobesus litoralis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Saccharobesus; s__Saccharobesus litoralis
Aestuariibacter sp.	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Aestuariibacter; s__Aestuariibacter sp.
Hydrocarboniclastica marina	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Hydrocarboniclastica; s__Hydrocarboniclastica marina
Neptunicella marina	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Neptunicella; s__Neptunicella marina
Aliiglaciecola lipolytica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Aliiglaciecola; s__Aliiglaciecola lipolytica
Idiomarina baltica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina baltica
Idiomarina zobellii	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina zobellii
Idiomarina fontislapidosi	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina fontislapidosi
Idiomarina aquatica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina aquatica
Idiomarina sp. MD25a	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina sp. MD25a
Idiomarina sp. X4	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina sp. X4
Idiomarina piscisalsi	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina piscisalsi
Idiomarina abyssalis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina abyssalis
Idiomarina loihiensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina loihiensis
Idiomarinaceae bacterium	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__ ; s__Idiomarinaceae bacterium
Aliidiomarina maris	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Aliidiomarina; s__Aliidiomarina maris
Pseudidiomarina aquimaris	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Pseudidiomarina; s__Pseudidiomarina aquimaris
Pseudidiomarina donghaiensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Pseudidiomarina; s__Pseudidiomarina donghaiensis
Pseudoalteromonas sp. MEBiC 03607	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. MEBiC 03607
Pseudoalteromonas sp. NBT06-2	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. NBT06-2
Pseudoalteromonas sp. 0303	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. 0303
Pseudoalteromonas sp.	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp.
Pseudoalteromonas sp. T1lg23B	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. T1lg23B
Pseudoalteromonas sp. NC201	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. NC201
Pseudoalteromonas sp. '520P1 No. 423'	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. '520P1 No. 423'
Pseudoalteromonas lipolytica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas lipolytica
Pseudoalteromonas ruthenica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas ruthenica
Pseudoalteromonas arabiensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas arabiensis
Pseudoalteromonas shioyasakiensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas shioyasakiensis
Pseudoalteromonas piscicida	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas piscicida
Pseudoalteromonas gelatinilytica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas gelatinilytica
Litorilituus sediminis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__Litorilituus; s__Litorilituus sediminis
Litorilituus lipolyticus	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__Litorilituus; s__Litorilituus lipolyticus
Gammaproteobacteria bacterium	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium
gamma proteobacterium SCGC AAA007-O20	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__gamma proteobacterium SCGC AAA007-O20
Gammaproteobacteria bacterium UBA1119	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium UBA1119
gamma proteobacterium SCGC AB-629-P17	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__gamma proteobacterium SCGC AB-629-P17
Gammaproteobacteria bacterium REDSEA-S15_B12	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium REDSEA-S15_B12
Gammaproteobacteria bacterium UBA3532	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium UBA3532
Gammaproteobacteria bacterium UBA1961	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium UBA1961
Gammaproteobacteria bacterium UBA7310	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium UBA7310
gamma proteobacterium SCGC AAA168-P09	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__gamma proteobacterium SCGC AAA168-P09
Gammaproteobacteria bacterium UBA3498	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium UBA3498
Gammaproteobacteria bacterium UBA6940	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium UBA6940
Gammaproteobacteria bacterium UBA7803	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__ ; f__ ; g__ ; s__Gammaproteobacteria bacterium UBA7803
Halomonas aquamarina	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella aquamarina
Halomonas piezotolerans	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella piezotolerans
Halomonas salicampi	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella salicampi
Halomonas meridiana	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella aquamarina
Halomonas lionensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella lionensis
Halomonas salina	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas salina
Halomonas litopenaei	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas litopenaei
Halomonas sp. JSM 104105	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas faecis
Halomonas sp.	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp.
Halomonas sp. 54_146	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. 54_146
Halomonas sp. UBA3074	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. UBA3074
Halomonas sp. HAL1	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. HAL1
Halomonas sp. KAO	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. KAO
Halomonas sp. GFAJ-1	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. GFAJ-1
Halomonas sp. JB37	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. JB37
Halomonas sp. A11-A	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. A11-A
Halomonas sp. FME66	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas colorata
Halomonas sp. A40-4	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. A40-4
Halomonas sedimenti	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella sedimenti
Halomonas hamiltonii	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella hamiltonii
Halomonas stevensii	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella stevensii
Halomonas alkaliantarctica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas alkaliantarctica
Halomonas lutescens	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella lutescens
Halomonas glaciei	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella glaciei
Halomonas azerica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella azerica
Halomonas titanicae	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella titanicae
Halomonas subterranea	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella subterranea
Halomonas maris	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella maris
Halomonas salipaludis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas salipaludis
Halomonas alkaliphila	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella alkaliphila
Halomonas sulfidaeris	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella sulfidaeris
Halomonas campaniensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas campaniensis
Halomonas xianhensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Modicisalibacter; s__Modicisalibacter xianhensis
Halomonas alimentaria	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas alimentaria
Halomonas zincidurans	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Modicisalibacter; s__Modicisalibacter zincidurans
Halomonas venusta	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella venusta
Halomonas ventosae	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas ventosae
Halomonas cupida	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas cupida
Salinicola sp.	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Salinicola; s__Salinicola sp.
Salinicola salarius	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Salinicola; s__Salinicola salarius
Salinicola peritrichatus	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Salinicola; s__Salinicola peritrichatus
Chromohalobacter israelensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Chromohalobacter; s__Chromohalobacter israelensis
Alloalcanivorax venustensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alloalcanivorax; s__Alloalcanivorax venustensis
Alloalcanivorax marinus	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alloalcanivorax; s__Alloalcanivorax marinus
Alloalcanivorax profundimaris	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alloalcanivorax; s__Alloalcanivorax profundimaris
Alloalcanivorax mobilis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alloalcanivorax; s__Alloalcanivorax mobilis
Alloalcanivorax gelatiniphagus	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alloalcanivorax; s__Alloalcanivorax gelatiniphagus
Alloalcanivorax xenomutans	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alloalcanivorax; s__Alloalcanivorax xenomutans
Alcanivorax sp.	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax sp.
Alcanivorax sp. UBA4485	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax sp. UBA4485
Alcanivorax sp. 24	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax sp. 24
Alcanivorax sp. DSM 26293	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax sp. DSM 26293
Alcanivorax sp. DG881	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax sp. DG881
Alcanivorax profundi	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax profundi
Alcanivorax nanhaiticus	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax nanhaiticus
Alcanivorax borkumensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax borkumensis
Alcanivoracaceae bacterium	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__ ; s__Alcanivoracaceae bacterium
Ketobacter sp.	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Ketobacteraceae; g__Ketobacter; s__Ketobacter sp.
Thalassolituus sp. UBA674	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Thalassolituus; s__Thalassolituus sp. UBA674
Thalassolituus sp. UBA2107	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Thalassolituus; s__Thalassolituus sp. UBA2107
Thalassolituus sp. UBA1087	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Thalassolituus; s__Thalassolituus sp. UBA1087
Thalassolituus sp. C2-1	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Thalassolituus; s__Thalassolituus sp. C2-1
Oceanospirillaceae bacterium	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__ ; s__Oceanospirillaceae bacterium
Neptuniibacter sp. UBA6509	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Neptuniibacter; s__Neptuniibacter sp. UBA6509
Marinomonas communis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Marinomonas; s__Marinomonas communis
Oceanobacter sp.	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Oceanobacter; s__Oceanobacter sp.
Bacterioplanes sanyensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Bacterioplanes; s__Bacterioplanes sanyensis
Marinobacterium iners	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Marinobacterium; s__Marinobacterium iners
